epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.421,1.60212,3.09767,1.77655,0.01916,0.7364,0.32868,0.14917,1.70696,3.30058,1.9139,0.00031,0.00031,0.00031
2,383.494,1.43557,1.97491,1.64435,0.82961,0.25018,0.56865,0.27216,1.81768,2.67757,2.01509,0.000623763,0.000623763,0.000623763
3,525.215,1.44535,1.70813,1.62601,0.57973,0.66208,0.7002,0.32754,1.66915,2.16413,1.97822,0.00093119,0.00093119,0.00093119
4,665.092,1.40915,1.63555,1.61761,0.58176,0.7028,0.74375,0.37608,1.60725,1.74064,1.94884,0.0009703,0.0009703,0.0009703
5,803.639,1.35916,1.52149,1.57622,0.79883,0.54097,0.66924,0.34321,1.59494,1.54551,1.88322,0.0009604,0.0009604,0.0009604
6,943.039,1.34351,1.45873,1.56267,0.66145,0.62455,0.69204,0.30769,1.72082,1.60239,1.95905,0.0009505,0.0009505,0.0009505
7,1085.91,1.26649,1.37747,1.53113,0.77526,0.63521,0.72716,0.39539,1.53107,1.52174,1.7881,0.0009406,0.0009406,0.0009406
8,1231.22,1.26877,1.34607,1.5131,0.70735,0.77412,0.7847,0.42265,1.58881,1.32073,1.8678,0.0009307,0.0009307,0.0009307
9,1374.05,1.24607,1.33099,1.49819,0.85327,0.67581,0.77797,0.42732,1.55621,1.2876,1.83252,0.0009208,0.0009208,0.0009208
10,1517.66,1.19948,1.26117,1.47553,0.78257,0.76361,0.77389,0.42038,1.51993,1.27998,1.83095,0.0009109,0.0009109,0.0009109
11,1662.03,1.15635,1.20693,1.42797,0.74335,0.75792,0.8166,0.43829,1.59715,1.42504,1.862,0.000901,0.000901,0.000901
12,1805.64,1.16655,1.18983,1.41513,0.80059,0.7591,0.80509,0.45663,1.44367,1.24315,1.70886,0.0008911,0.0008911,0.0008911
13,1948.88,1.15068,1.15102,1.41903,0.85063,0.73971,0.8417,0.47946,1.50284,1.16964,1.76249,0.0008812,0.0008812,0.0008812
14,2092.05,1.11203,1.07808,1.37392,0.76135,0.76058,0.79269,0.42646,1.57937,1.26812,1.86849,0.0008713,0.0008713,0.0008713
15,2235.29,1.09902,1.08144,1.38201,0.76118,0.78836,0.83732,0.47893,1.41881,1.13677,1.70238,0.0008614,0.0008614,0.0008614
16,2379.16,1.10558,1.05441,1.38645,0.8794,0.72207,0.83848,0.46696,1.57551,1.0823,1.79718,0.0008515,0.0008515,0.0008515
17,2521.22,1.06821,1.00991,1.34816,0.8501,0.83497,0.8728,0.47012,1.59466,1.067,1.86266,0.0008416,0.0008416,0.0008416
18,2662.28,1.06016,0.99565,1.3281,0.82276,0.79932,0.83284,0.49418,1.49617,1.0558,1.81476,0.0008317,0.0008317,0.0008317
19,2805.81,1.01423,0.9697,1.31784,0.82128,0.81354,0.84129,0.44298,1.67286,1.1042,1.98273,0.0008218,0.0008218,0.0008218
20,2949.08,1.04268,0.96545,1.32029,0.88261,0.7536,0.81463,0.39767,1.7535,1.17139,2.08207,0.0008119,0.0008119,0.0008119
21,3091.73,1.01227,0.92049,1.32227,0.92201,0.78255,0.86601,0.50356,1.54846,1.07233,1.82675,0.000802,0.000802,0.000802
22,3235.04,1.00323,0.9393,1.3186,0.92991,0.79746,0.86737,0.49699,1.49163,0.96391,1.82097,0.0007921,0.0007921,0.0007921
23,3380.13,0.99402,0.89502,1.31573,0.86504,0.80698,0.84382,0.4915,1.53981,1.03795,1.88911,0.0007822,0.0007822,0.0007822
24,3524.13,0.99211,0.8946,1.2931,0.76166,0.71217,0.78026,0.43088,1.55763,1.17219,1.87296,0.0007723,0.0007723,0.0007723
25,3674.07,0.95319,0.83862,1.26085,0.87776,0.79447,0.8444,0.48762,1.48791,1.00923,1.81744,0.0007624,0.0007624,0.0007624
26,3821.94,0.95364,0.84213,1.26688,0.83104,0.84201,0.84329,0.47644,1.53062,0.97912,1.88125,0.0007525,0.0007525,0.0007525
27,4003.71,0.94899,0.83742,1.25543,0.93875,0.79079,0.86949,0.51284,1.479,0.98442,1.77977,0.0007426,0.0007426,0.0007426
28,4256.39,0.93971,0.80509,1.25227,0.95481,0.77727,0.87265,0.51643,1.43359,0.91433,1.76515,0.0007327,0.0007327,0.0007327
29,4496.66,0.91633,0.81348,1.25738,0.84614,0.81455,0.86603,0.51112,1.43776,0.88701,1.77141,0.0007228,0.0007228,0.0007228
30,4729.3,0.91102,0.7941,1.24399,0.92252,0.78076,0.8722,0.48841,1.44814,0.89568,1.74228,0.0007129,0.0007129,0.0007129
31,4940.93,0.87552,0.76152,1.21385,0.91808,0.78744,0.86839,0.50277,1.47144,0.92641,1.79105,0.000703,0.000703,0.000703
32,5151.3,0.87264,0.76963,1.22846,0.86075,0.86247,0.89825,0.51216,1.4694,0.83373,1.80432,0.0006931,0.0006931,0.0006931
33,5357.68,0.87127,0.75325,1.20336,0.9062,0.79229,0.89933,0.51636,1.43608,0.91423,1.74649,0.0006832,0.0006832,0.0006832
34,5569.14,0.87609,0.76118,1.22475,0.87126,0.87275,0.8784,0.49057,1.48644,0.86586,1.80221,0.0006733,0.0006733,0.0006733
35,5780.33,0.85811,0.75245,1.20755,0.86404,0.81428,0.86294,0.49757,1.52871,0.94232,1.87302,0.0006634,0.0006634,0.0006634
36,5996.61,0.82911,0.73094,1.18456,0.91453,0.79724,0.87275,0.52013,1.43757,0.8283,1.76771,0.0006535,0.0006535,0.0006535
37,6212.99,0.83433,0.71504,1.17705,0.90673,0.81063,0.87643,0.51769,1.46764,0.8428,1.83249,0.0006436,0.0006436,0.0006436
38,6428.23,0.8201,0.68949,1.17791,0.93859,0.78911,0.88696,0.51996,1.45311,0.84476,1.75636,0.0006337,0.0006337,0.0006337
39,6630.09,0.83349,0.69063,1.17864,0.90539,0.7765,0.88202,0.50094,1.49332,0.86223,1.79072,0.0006238,0.0006238,0.0006238
